from_station_name,trip_id
Ontario Place Blvd / Remembrance Dr,3880
Bay St / Queens Quay W (Ferry Terminal),3873
York St / Queens Quay W,2510
HTO Park (Queens Quay W),1366
Queens Quay / Yonge St,1249
